percent_time,xres,yres,name
65.28,800,800,ray_sphere
19.59,800,800,shade
8.70,800,800,get_primary_ray
6.53,800,800,render
0.00,800,800,get_msec
0.00,800,800,load_scene
71.80,1600,1600,ray_sphere
17.30,1600,1600,shade
7.34,1600,1600,get_primary_ray
2.62,1600,1600,render
0.52,1600,1600,load_scene
0.52,1600,1600,main
0.00,1600,1600,get_msec
70.60,2400,2400,ray_sphere
18.91,2400,2400,shade
6.81,2400,2400,get_primary_ray
3.28,2400,2400,render
0.25,2400,2400,load_scene
0.25,2400,2400,main
0.00,2400,2400,get_msec
70.66,3200,3200,ray_sphere
18.53,3200,3200,shade
6.46,3200,3200,get_primary_ray
3.45,3200,3200,render
0.57,3200,3200,load_scene
0.43,3200,3200,main
0.00,3200,3200,get_msec
70.52,4000,4000,ray_sphere
16.14,4000,4000,shade
8.66,4000,4000,get_primary_ray
2.89,4000,4000,render
1.80,4000,4000,load_scene
0.09,4000,4000,main
0.00,4000,4000,get_msec
71.54,4800,4800,ray_sphere
16.39,4800,4800,shade
6.69,4800,4800,get_primary_ray
3.76,4800,4800,render
1.08,4800,4800,load_scene
0.64,4800,4800,main
0.00,4800,4800,get_msec
