xres,yres,xthreads,ythreads,render_time,real_time,application_type,run,render_speedup,real_speedup
64,64,1,1,44,4653,cuda,1,0.068181818,0.001074576
64,64,2,2,23,4523,cuda,1,0.130434783,0.001105461
64,64,4,4,19,4519,cuda,1,0.157894737,0.001106439
64,64,8,8,18,4519,cuda,1,0.166666667,0.001106439
64,64,12,12,19,4571,cuda,1,0.157894737,0.001093853
64,64,16,16,20,4545,cuda,1,0.15,0.00110011
64,64,20,20,18,4514,cuda,1,0.166666667,0.001107665
64,64,22,22,19,4829,cuda,1,0.157894737,0.001035411
64,64,,,3,5,sequential,1,1,1
160,160,1,1,195,4779,cuda,1,0.097435897,0.004603474
160,160,2,2,61,4581,cuda,1,0.31147541,0.004802445
160,160,4,4,28,4556,cuda,1,0.678571429,0.004828797
160,160,8,8,22,4514,cuda,1,0.863636364,0.004873726
160,160,12,12,24,4534,cuda,1,0.791666667,0.004852228
160,160,16,16,22,4511,cuda,1,0.863636364,0.004876967
160,160,20,20,24,4514,cuda,1,0.791666667,0.004873726
160,160,22,22,24,4524,cuda,1,0.791666667,0.004862953
160,160,,,19,22,sequential,1,1,1
240,240,1,1,418,4914,cuda,1,0.107655502,0.00976801
240,240,2,2,120,4647,cuda,1,0.375,0.010329245
240,240,4,4,43,4633,cuda,1,1.046511628,0.010360458
240,240,8,8,28,4531,cuda,1,1.607142857,0.010593688
240,240,12,12,31,4601,cuda,1,1.451612903,0.010432515
240,240,16,16,28,4531,cuda,1,1.607142857,0.010593688
240,240,20,20,30,4875,cuda,1,1.5,0.009846154
240,240,22,22,30,4520,cuda,1,1.5,0.010619469
240,240,,,45,48,sequential,1,1,1
480,480,1,1,1627,6152,cuda,1,0.107559926,0.029908973
480,480,2,2,427,4939,cuda,1,0.409836066,0.037254505
480,480,4,4,121,4741,cuda,1,1.446280992,0.038810378
480,480,8,8,59,4569,cuda,1,2.966101695,0.040271394
480,480,12,12,70,4636,cuda,1,2.5,0.039689387
480,480,16,16,61,4571,cuda,1,2.868852459,0.040253774
480,480,20,20,65,4704,cuda,1,2.692307692,0.039115646
480,480,22,22,66,4590,cuda,1,2.651515152,0.040087146
480,480,,,175,184,sequential,1,1,1
800,800,1,1,4486,9060,cuda,1,0.108114133,0.055298013
800,800,2,2,1150,5709,cuda,1,0.42173913,0.087756174
800,800,4,4,302,4871,cuda,1,1.605960265,0.102853623
800,800,8,8,130,4652,cuda,1,3.730769231,0.107695615
800,800,12,12,161,4763,cuda,1,3.01242236,0.105185807
800,800,16,16,133,4653,cuda,1,3.646616541,0.107672469
800,800,20,20,144,4659,cuda,1,3.368055556,0.107533806
800,800,22,22,147,4663,cuda,1,3.299319728,0.107441561
800,800,,,485,501,sequential,1,1,1
960,960,1,1,6453,10980,cuda,1,0.108166744,0.067941712
960,960,2,2,1645,6362,cuda,1,0.424316109,0.117258724
960,960,4,4,426,4971,cuda,1,1.638497653,0.150070408
960,960,8,8,179,4743,cuda,1,3.899441341,0.157284419
960,960,12,12,221,4822,cuda,1,3.158371041,0.15470759
960,960,16,16,181,4712,cuda,1,3.856353591,0.158319185
960,960,20,20,198,4768,cuda,1,3.525252525,0.156459732
960,960,22,22,201,4802,cuda,1,3.472636816,0.155351937
960,960,,,698,746,sequential,1,1,1
1120,1120,1,1,8805,13352,cuda,1,0.108915389,0.074146195
1120,1120,2,2,2238,6798,cuda,1,0.428507596,0.145631068
1120,1120,4,4,572,5310,cuda,1,1.676573427,0.186440678
1120,1120,8,8,235,4826,cuda,1,4.080851064,0.205138831
1120,1120,12,12,297,4910,cuda,1,3.228956229,0.201629328
1120,1120,16,16,238,4783,cuda,1,4.029411765,0.206983065
1120,1120,20,20,260,4871,cuda,1,3.688461538,0.203243687
1120,1120,22,22,262,4873,cuda,1,3.660305344,0.203160271
1120,1120,,,959,990,sequential,1,1,1
1280,1280,1,1,11511,16195,cuda,1,0.107809921,0.079160235
1280,1280,2,2,2916,7474,cuda,1,0.42558299,0.171527964
1280,1280,4,4,741,5318,cuda,1,1.674763833,0.241068071
1280,1280,8,8,301,4886,cuda,1,4.122923588,0.262382317
1280,1280,12,12,378,4961,cuda,1,3.283068783,0.258415642
1280,1280,16,16,303,4937,cuda,1,4.095709571,0.259671866
1280,1280,20,20,332,4901,cuda,1,3.737951807,0.26157927
1280,1280,22,22,340,4894,cuda,1,3.65,0.261953412
1280,1280,,,1241,1282,sequential,1,1,1
1440,1440,1,1,14537,19124,cuda,1,0.108550595,0.085076344
1440,1440,2,2,3681,8300,cuda,1,0.428687857,0.196024096
1440,1440,4,4,931,5546,cuda,1,1.694951665,0.293364587
1440,1440,8,8,375,4974,cuda,1,4.208,0.327100925
1440,1440,12,12,468,5064,cuda,1,3.371794872,0.32128752
1440,1440,16,16,377,4947,cuda,1,4.185676393,0.328886194
1440,1440,20,20,413,4970,cuda,1,3.820823245,0.327364185
1440,1440,22,22,417,4973,cuda,1,3.784172662,0.3271667
1440,1440,,,1578,1627,sequential,1,1,1
2400,2400,1,1,40260,44955,cuda,1,0.109190263,0.100767434
2400,2400,2,2,10134,14898,cuda,1,0.433787251,0.30406766
