xres,yres,xthreads,ythreads,render_time,real_time,application_type,run
64,64,1,1,44,4556,cuda,1
64,64,2,2,24,4576,cuda,1
64,64,4,4,18,4561,cuda,1
64,64,8,8,18,4581,cuda,1
64,64,12,12,19,4675,cuda,1
64,64,16,16,18,4603,cuda,1
64,64,20,20,18,4536,cuda,1
64,64,22,22,19,4602,cuda,1
64,64,,,4,7,sequential,1
160,160,1,1,194,4713,cuda,1
160,160,2,2,62,4660,cuda,1
160,160,4,4,28,4521,cuda,1
160,160,8,8,22,4544,cuda,1
160,160,12,12,24,4569,cuda,1
160,160,16,16,22,4541,cuda,1
160,160,20,20,23,4594,cuda,1
160,160,22,22,24,4565,cuda,1
160,160,,,19,22,sequential,1
240,240,1,1,419,4923,cuda,1
240,240,2,2,120,4653,cuda,1
240,240,4,4,42,4602,cuda,1
240,240,8,8,27,4547,cuda,1
240,240,12,12,30,4610,cuda,1
240,240,16,16,29,4568,cuda,1
240,240,20,20,30,4620,cuda,1
240,240,22,22,30,4535,cuda,1
240,240,,,44,48,sequential,1
480,480,1,1,1625,6171,cuda,1
480,480,2,2,426,4962,cuda,1
480,480,4,4,119,4633,cuda,1
480,480,8,8,59,4595,cuda,1
480,480,12,12,70,4649,cuda,1
480,480,16,16,60,4629,cuda,1
480,480,20,20,65,4584,cuda,1
480,480,22,22,66,4631,cuda,1
480,480,,,176,184,sequential,1
800,800,1,1,4483,9005,cuda,1
800,800,2,2,1148,5752,cuda,1
800,800,4,4,300,4836,cuda,1
800,800,8,8,130,4666,cuda,1
800,800,12,12,162,4717,cuda,1
800,800,16,16,132,4666,cuda,1
800,800,20,20,145,4683,cuda,1
800,800,22,22,147,4707,cuda,1
800,800,,,483,499,sequential,1
960,960,1,1,6450,11002,cuda,1
960,960,2,2,1645,6228,cuda,1
960,960,4,4,424,5021,cuda,1
960,960,8,8,179,4624,cuda,1
960,960,12,12,221,4772,cuda,1
960,960,16,16,181,4745,cuda,1
960,960,20,20,198,4728,cuda,1
960,960,22,22,200,4781,cuda,1
960,960,,,694,717,sequential,1
1120,1120,1,1,8801,13482,cuda,1
